description,success,error,errors
"TIM.UC_10057_01 (Client-Login, Auswahl Authentifizierungsverfahren):",359,0,[]
TIM.UC_10057_02 (Erstellung Matrix-ACCESS_TOKEN):,359,0,[]
TIM.UC_10057_03 (Erstellung Matrix-OpenID-Token):,359,0,[]
TIM.UC_10104-01_01 (Akteur suchen):,66,0,[]
"TIM.UC_10104-01_02 (Akteur einladen, gleicher Homeserver):",50,5,"[HTTP/1.1 403 Forbidden, HTTP/1.1 403 Forbidden, HTTP/1.1 403 Forbidden, HTTP/1.1 403 Forbidden, HTTP/1.1 403 Forbidden]"
"TIM.UC_10063_01 (Austausch von Events innerhalb einer Organisation, gleicher Homeserver):",47,0,[]
TIM.UC_10061-01_01 (Eintrag in Freigabeliste erzeugen):,0,0,[]
"TIM.UC_10061-01_02 (Einladung Sendersystem, unterschiedliche Homeserver):",72,7,"[HTTP/1.1 403 Forbidden, HTTP/1.1 403 Forbidden, HTTP/1.1 403 Forbidden, HTTP/1.1 403 Forbidden, HTTP/1.1 403 Forbidden, HTTP/1.1 403 Forbidden, HTTP/1.1 403 Forbidden]"
"TIM.UC_10061-01_03 (Einladung Empfangssystem, unterschiedliche Homeserver):",72,7,"[HTTP/1.1 403 Forbidden, HTTP/1.1 403 Forbidden, HTTP/1.1 403 Forbidden, HTTP/1.1 403 Forbidden, HTTP/1.1 403 Forbidden, HTTP/1.1 403 Forbidden, HTTP/1.1 403 Forbidden]"
"TIM.UC_10062-01_01 (Event Sendersystem, unterschiedliche Homeserver):",67,1,[HTTP/1.1 403 Forbidden]
"TIM.UC_10062-01_02 (Event Empfangssystem, unterschiedliche Homeserver):",67,1,[HTTP/1.1 403 Forbidden]
TIM.UC_10059-01_02 (Organisationsressourcen im Verzeichnisdienst hinzufügen):,50,0,[]
